province,district,win_party,turnout,election_day,early_voting,index,더불어민주당_vote,더불어민주당_early_voting,더불어민주당_election_day,미래통합당_vote,미래통합당_early_voting,미래통합당_election_day,vote(더불어민주당 - 미래통합당),early_voting(더불어민주당 - 미래통합당),election_day(더불어민주당 - 미래통합당)
Gyeonggi,성남시중원구,더불어민주당,0.6351,0.3577,0.2753,121,0.5462082560296846,0.6073904325408193,0.49318892200334374,0.41673568778160613,0.35682230497469686,0.45771607181798357,0.12947256824807846,0.2505681275661224,0.03547285018536017
Gyeonggi,수원시갑,더불어민주당,0.6649,0.4155,0.2464,115,0.5917057288660031,0.6549092794193883,0.5468632173003478,0.3958405492568561,0.3344945567651633,0.4268286749860128,0.19586517960914707,0.32041472265422494,0.12003454231433502
Gyeonggi,수원시무,더불어민주당,0.6538,0.4145,0.2373,117,0.5521834281674017,0.6123066077987608,0.5115202049903386,0.38243156796067473,0.32873891589062443,0.4089095186087541,0.169751860206727,0.28356769190813635,0.10261068638158449
Gyeonggi,수원시병,더불어민주당,0.6213,0.3718,0.2471,118,0.5307419154294385,0.5930374054282842,0.48248512888301387,0.42542385382969977,0.36656790645997567,0.4590218109715796,0.10531806159973872,0.22646949896830854,0.023463317911434245
Gyeonggi,수원시을,더불어민주당,0.6604,0.4258,0.2321,116,0.6068658431485205,0.669818256075148,0.5660292190992062,0.3830364837690319,0.32136001633653255,0.41173167751098194,0.22382935937948867,0.34845823973861545,0.15429754158822429
Gyeonggi,수원시정,더불어민주당,0.694,0.4264,0.2653,119,0.5742736492583101,0.6409777626888474,0.5270356715011805,0.3795791677193489,0.3196589901733341,0.4126821665755592,0.19469448153896124,0.32131877251551333,0.1143535049256213
Gyeonggi,시흥시갑,더불어민주당,0.6508,0.4297,0.2188,148,0.5171795547854909,0.581969785269198,0.48008994553549234,0.4489434630306226,0.3871654637557717,0.4757621641167032,0.06823609175486833,0.19480432151342625,0.004327781418789145
Gyeonggi,시흥시을,더불어민주당,0.5628,0.3631,0.1979,149,0.6702402492477093,0.7221672167216722,0.6342934186742525,0.3163975191338255,0.2660616061606161,0.33960055708655584,0.3538427301138838,0.4561056105610561,0.29469286158769664
Gyeonggi,안산시단원구갑,더불어민주당,0.5747,0.371,0.2017,136,0.5574516646983108,0.6133736305251227,0.519916440189835,0.41250547379874997,0.3601057801284473,0.4352208656147325,0.1449461908995608,0.25326785039667543,0.08469557457510246
Gyeonggi,안산시단원구을,더불어민주당,0.654,0.4192,0.2316,137,0.5132545084811807,0.5912353607857952,0.46405057117668025,0.46877245107947835,0.39475220661469246,0.5029543621391458,0.04448205740170236,0.19648315417110274,-0.038903790962465545
Gyeonggi,안산시상록구갑,더불어민주당,0.6093,0.3814,0.2255,135,0.5855780774077051,0.6538915094339622,0.538837613801965,0.38065898740959014,0.31638614922813035,0.4144506949558895,0.20491908999811492,0.3375053602058319,0.12438691884607556
Gyeonggi,안산시상록구을,더불어민주당,0.5932,0.3799,0.211,134,0.5777456800593661,0.6478925635207023,0.5296490191684831,0.4074393088094986,0.3394962985007998,0.43826770691165384,0.17030637124986753,0.3083962650199025,0.09138131225682922
Gyeonggi,안성시,더불어민주당,0.6352,0.365,0.2682,159,0.514459838380912,0.5622405625824095,0.46938450935694215,0.4713441700207973,0.42635639986326124,0.49389457315025886,0.04311566836011471,0.13588416271914827,-0.024510063793316716
Gyeonggi,안양시동안구갑,더불어민주당,0.7057,0.4294,0.2737,127,0.5533730762809244,0.629403725450496,0.49919345822752464,0.3976586362341757,0.32934298440979953,0.4366665069554246,0.15571444004674867,0.3000607410406965,0.06252695127210006
Gyeonggi,안양시동안구을,더불어민주당,0.7582,0.4389,0.3165,128,0.5415387295572831,0.6103980630548541,0.48753079967147017,0.41731451841205547,0.35463799432454246,0.45848577615172104,0.12422421114522764,0.25576006873031165,0.029045023519749136
Gyeonggi,안양시만안구,더불어민주당,0.6729,0.3897,0.2809,126,0.5360864393621038,0.5988474194813388,0.4850867052023121,0.42335059366519706,0.3640347138156212,0.46167325829023426,0.1127358456969067,0.2348127056657176,0.023413446912077862
Gyeonggi,양주시,더불어민주당,0.6107,0.3592,0.2476,167,0.6264506358153581,0.6860997456596263,0.5796363526806562,0.36216831408113703,0.30332854141324783,0.39883705165479116,0.26428232173422106,0.38277120424637845,0.180799301025865
Gyeonggi,여주양평,미래통합당,0.6575,0.3738,0.281,169,0.4017667954630437,0.4799177044643507,0.33821895911787814,0.5497865511653994,0.4727259485834972,0.6016228224648479,-0.1480197557023557,0.007191755880853523,-0.26340386334696975
Gyeonggi,오산시,더불어민주당,0.606,0.4056,0.1987,147,0.5671762087504465,0.6340109874787362,0.5273555204237437,0.4106316917468837,0.3464123372096266,0.43616144418771197,0.1565445170035628,0.2875986502691096,0.09119407623603171
Gyeonggi,용인시갑,미래통합당,0.6255,0.386,0.2362,152,0.4593658670238675,0.5293594306049823,0.41156566086882435,0.5314326595226497,0.46237059204141057,0.5683264968292415,-0.07206679249878223,0.06698883856357168,-0.15676083596041718
Gyeonggi,용인시병,더불어민주당,0.7344,0.4642,0.2669,155,0.515597539543058,0.606218922187878,0.4592575588013047,0.47941075961726226,0.3886742373336917,0.5270356872985356,0.03618677992579572,0.21754468485418627,-0.06777812849723086
Gyeonggi,용인시을,더불어민주당,0.6866,0.4357,0.2482,153,0.6008721981805758,0.6697786422154303,0.5564506004937858,0.38633288227334234,0.31882930443641755,0.42124534460392515,0.21453931590723346,0.3509493377790127,0.13520525588986065
Gyeonggi,용인시정,더불어민주당,0.7265,0.4602,0.263,154,0.5346439124404511,0.6203379791585688,0.4819178427419355,0.4379183501175903,0.3543598571084828,0.48265288978494625,0.09672556232286078,0.26597812205008603,-0.0007350470430107503
Gyeonggi,의왕과천,더불어민주당,0.7269,0.4383,0.2855,142,0.43386212227170673,0.5112135349333933,0.37975173615312025,0.37952077735654605,0.32074269761864616,0.4143054177656254,0.05434134491516068,0.19047083731474712,-0.03455368161250516
Gyeonggi,의정부시갑,더불어민주당,0.5874,0.358,0.2269,124,0.5303207702356185,0.5931652968949065,0.48276779982149287,0.37393197542212975,0.3183532762109365,0.40315988913768536,0.15638879481348877,0.27481202068397,0.07960791068380751
Gyeonggi,의정부시을,더불어민주당,0.6243,0.403,0.2188,125,0.5598814105572765,0.6238016676327641,0.5184617411404002,0.3883100222159642,0.32683818611495075,0.4170209708133226,0.17157138834131225,0.2969634815178134,0.1014407703270776
Gyeonggi,이천시,미래통합당,0.615,0.3531,0.2586,158,0.45685017793267063,0.5179898574801084,0.4074103371355345,0.5199496087320343,0.45890530733583984,0.5588602888829123,-0.0630994307993637,0.059084550144268555,-0.1514499517473778
Gyeonggi,파주시갑,더불어민주당,0.6416,0.436,0.2028,157,0.6093110883471707,0.6781340711175616,0.5711023999666381,0.37337478599110296,0.30909833091436867,0.39923684814112054,0.23593630235606777,0.36903574020319296,0.1718655518255176
Gyeonggi,파주시을,더불어민주당,0.5996,0.3697,0.2246,156,0.543392891106611,0.6248134662448517,0.4865537491942992,0.44291292332822413,0.3622634751984719,0.4867506982740099,0.10047996777838691,0.26254999104637977,-0.00019694907971068432
Gyeonggi,평택시갑,더불어민주당,0.5902,0.382,0.2062,132,0.5022276095141002,0.5582721898935069,0.46620149345085077,0.47412360623891214,0.41937116176369116,0.4974782715142612,0.028104003275188028,0.13890102812981575,-0.03127677806341045
Gyeonggi,평택시을,미래통합당,0.5883,0.3716,0.2117,131,0.4611094193258859,0.5238360188729636,0.41991781302463105,0.47674418604651164,0.41778687794890057,0.505750582575359,-0.015634766720625748,0.10604914092406303,-0.08583276955072794
Gyeonggi,포천가평,미래통합당,0.6023,0.3593,0.2386,168,0.4668330595802861,0.5409221368391816,0.4098809505801201,0.502583066462346,0.42912693269141744,0.5442388854432965,-0.03575000688205987,0.11179520414776412,-0.13435793486317638
Gyeonggi,하남시,더불어민주당,0.6678,0.4014,0.2646,151,0.5077348469276114,0.5812696606652834,0.4550604188309913,0.33247574779028055,0.2853055351047453,0.3606211383891957,0.17525909913733084,0.2959641255605381,0.09443928044179561
Gyeonggi,화성시갑,더불어민주당,0.599,0.3622,0.2346,162,0.4965312441834887,0.5501305877528114,0.45683079776851837,0.44240173268583227,0.3907703598178247,0.4712274533146915,0.054129511497656435,0.15936022793498672,-0.014396655546173143
Gyeonggi,화성시병,더불어민주당,0.6341,0.4011,0.2311,164,0.6445063838744565,0.6961742974926812,0.607943967670163,0.34388723152523426,0.29269312727779656,0.36950006811061165,0.3006191523492222,0.40348117021488467,0.23844389955955136
Gyeonggi,화성시을,더불어민주당,0.6882,0.443,0.2434,163,0.6453453748241222,0.699911249167961,0.6090190000805088,0.3455515199109977,0.2922121144885733,0.3710148136220916,0.29979385491312455,0.4076991346793877,0.2380041864584172
Gyeongnam,거제시,미래통합당,0.6614,0.3896,0.2687,241,0.3803596448449099,0.4330608122272407,0.3404911167182582,0.5089369344263565,0.46461989975797074,0.5348828135161148,-0.12857728958144654,-0.03155908753073006,-0.19439169679785656
Gyeongnam,김해시갑,더불어민주당,0.6322,0.3838,0.2454,238,0.5106435679629333,0.5791644017919064,0.46049653374414884,0.45087640056532574,0.38769657550936254,0.4858683415298928,0.05976716739760757,0.19146782628254388,-0.02537180778574394
Gyeongnam,김해시을,더불어민주당,0.6531,0.4042,0.2461,239,0.4967683772538141,0.566770272010005,0.4488970180689502,0.41610957004160887,0.3575120004413955,0.4476776410597495,0.08065880721220525,0.20925827156860943,0.0012193770092007172
Gyeongnam,밀양의령함안창녕,미래통합당,0.668,0.3568,0.3071,240,0.30270450084827516,0.3526358404904427,0.25412512996147024,0.6800172981604071,0.6317775657152772,0.7096813650541252,-0.37731279731213196,-0.2791417252248345,-0.4555562350926549
Gyeongnam,사천남해하동,미래통합당,0.6964,0.3399,0.3501,237,0.3761929723837814,0.4199798317105024,0.32502717618529975,0.5959245483970279,0.5529913540857317,0.6280625470357053,-0.2197315760132465,-0.13301152237522934,-0.30303537085040555
Gyeongnam,산청함양거창합천,무소속,0.726,0.3427,0.3774,249,0.1794536106607479,0.21315491267830955,0.13936949750643646,0.36467283399370554,0.35136981735768563,0.37084781160542285,-0.18521922333295765,-0.13821490467937608,-0.2314783140989864
Gyeongnam,양산시갑,미래통합당,0.6616,0.4494,0.2093,242,0.42037620984989404,0.47732419172222923,0.39019826823502113,0.5699947278894647,0.5135866146685117,0.5908741497091969,-0.14961851803957066,-0.03626242294628251,-0.2006758814741758
Gyeongnam,양산시을,더불어민주당,0.6732,0.4313,0.239,243,0.48948912381690374,0.5608866442199776,0.4455716558602638,0.47262965627940445,0.4053186182815812,0.5052777445126854,0.016859467537499284,0.15556802593839636,-0.05970608865242155
Gyeongnam,진주시갑,미래통합당,0.6914,0.3935,0.2949,234,0.38477514323972273,0.44961802739959883,0.33171633536643175,0.547562875178765,0.486897699628697,0.5856903580570743,-0.16278773193904228,-0.03727967222909817,-0.2539740226906425
Gyeongnam,진주시을,미래통합당,0.6667,0.3745,0.2894,235,0.33828196628817264,0.39278470400519244,0.2910228184605255,0.5902743493899428,0.537847851367066,0.6203576058105801,-0.2519923831017702,-0.1450631473618736,-0.32933478735005456
Gyeongnam,창원시마산합포구,미래통합당,0.6829,0.4035,0.2758,246,0.34180282402857115,0.41031621979078997,0.29015990760171134,0.6296746820291745,0.5620295779728267,0.6686675451011013,-0.2878718580006034,-0.15171335818203674,-0.3785076374993899
Gyeongnam,창원시마산회원구,미래통합당,0.7021,0.4415,0.2578,247,0.4195397277508868,0.4750362741133655,0.38234122897356676,0.5642528876229752,0.5102637901096548,0.5894816340542396,-0.14471315987208838,-0.035227515996289316,-0.20714040508067283
Gyeongnam,창원시성산구,미래통합당,0.7218,0.4595,0.2592,245,0.15820826952526798,0.1829868883914295,0.14216339744810513,0.473062787136294,0.4111928365845859,0.5028923062273852,-0.314854517611026,-0.2282059481931564,-0.3607289087792801
Gyeongnam,창원시의창구,미래통합당,0.6854,0.4449,0.2373,244,0.36707976146105104,0.4398423228535718,0.32453243095378004,0.5904770778978755,0.5197577156042689,0.6213653218779761,-0.22339731643682448,-0.07991539275069709,-0.29683289092419607
Gyeongnam,창원시진해구,미래통합당,0.6791,0.381,0.282,248,0.48864229008518284,0.5446463529791106,0.4293565299482459,0.5022116629000792,0.4466017181418273,0.5369274600043831,-0.013569372814896397,0.09804463483728326,-0.10757093005613716
Gyeongnam,통영고성,미래통합당,0.6751,0.3753,0.2946,236,0.38923285285866305,0.45822824018761893,0.3287908099501806,0.5834768308019735,0.5186070180096465,0.6245912584958313,-0.1942439779433105,-0.06037877782202755,-0.2958004485456507
Gyeongbuk,경산시,미래통합당,0.6288,0.4075,0.2194,231,0.2718286063481793,0.34113739969883866,0.23098881147944397,0.6375786333081707,0.5682047897027579,0.6663130379622237,-0.36575002695999137,-0.22706739000391923,-0.4353242264827798
Gyeongbuk,경주시,미래통합당,0.6716,0.3544,0.3144,223,0.14729492461041313,0.17514510568348776,0.11943435887636156,0.5267501520089087,0.5064952067846908,0.5345436015032805,-0.3794552273984956,-0.3313501011012031,-0.41510924262691895
Gyeongbuk,고령성주칠곡,미래통합당,0.6384,0.3731,0.262,233,0.24020917847461212,0.2844371635853031,0.20513940806188002,0.6271124526560667,0.5722209220688041,0.6556305322264835,-0.38690327418145465,-0.2877837584835011,-0.45049112416460346
Gyeongbuk,구미시갑,미래통합당,0.6393,0.3954,0.2418,227,0.3158610082801295,0.38750384733764237,0.2676278857923653,0.6557844662624962,0.5870918862608613,0.6883771243132455,-0.33992345798236673,-0.1995880389232189,-0.4207492385208802
Gyeongbuk,구미시을,미래통합당,0.6047,0.3795,0.2227,226,0.3569304109021193,0.40927107637815197,0.32047496998994257,0.5643504844810612,0.5128327664239732,0.5844174804529085,-0.20742007357894188,-0.10356169004582128,-0.26394251046296596
Gyeongbuk,군위의성청송영덕,미래통합당,0.7205,0.3047,0.41,232,0.18924342542906558,0.2082295235129243,0.1598138291033454,0.7930728635416204,0.7750311429461227,0.8024377073208362,-0.6038294381125549,-0.5668016194331984,-0.6426238782174908
Gyeongbuk,김천시,미래통합당,0.6786,0.3132,0.3606,224,0.2100987516303335,0.24402674521905832,0.16903420363463217,0.745208372150798,0.7100808902604386,0.7720551278999022,-0.5351096205204645,-0.4660541450413803,-0.60302092426527
Gyeongbuk,상주문경,미래통합당,0.6866,0.3247,0.3558,230,0.1807075289861519,0.21356889380699812,0.1409129919489967,0.648004823611976,0.6071851032166978,0.6787772283297233,-0.4672972946258241,-0.3936162094096997,-0.5378642363807267
Gyeongbuk,안동예천,미래통합당,0.6797,0.3471,0.3273,225,0.2614521430768982,0.2982992739983867,0.222047342257406,0.471064008938258,0.4564399031997849,0.47742749840270526,-0.20961186586135983,-0.1581406292013982,-0.2553801561452993
Gyeongbuk,영주영양봉화울진,미래통합당,0.6951,0.3531,0.3365,228,0.21079457316622757,0.25005502971604665,0.17022356112256223,0.5583269724800761,0.5360402309554851,0.568162359283336,-0.34753239931384855,-0.2859852012394385,-0.3979387981607738
Gyeongbuk,영천청도,미래통합당,0.6961,0.3816,0.3103,229,0.22563699629588058,0.2805184998741505,0.17754258643281928,0.6463127174767089,0.5918701233324943,0.6808991029130128,-0.42067572118082835,-0.31135162345834383,-0.5033565164801935
